"MLS.Number","Status","Area","Street.Number","Street.Dir.Prefix","Street.Name","Street.Type","Street.Dir.Suffix","Unit.Number","X..Beds.Total","X..Baths.Full","X..Baths.Half","X..Living","X..Stories","X..Garage.Spaces","Year.Built","Sqft.Total","LP.SqFt","List.Price","S...SF","Sold.Lease.Price","Sold.Lease.Date","ADOM","CDOM","age","relisted","soldMonth","dayssale","latesale","listMonth","floor","Price.Diff","PriceSqrt","PriceListSqrt","agenumeric"
"27",4631515,"Sold","DT",1212,"","Guadalupe","ST","","708",1,2,0,1,"1",1,1973,826,"381.36","315000","$366.53","302750","12-31-2015",58,58,43,0,"12",58,0,"11","7",-12250,366.525423728814,381.35593220339,43
"28",4170086,"Sold","DT",800,"","Brazos","ST","","1204",1,1,0,1,"1",1,1949,723,"435.55","314900","$420.47","304000","04-28-2015",16,16,67,0,"04",16,1,"04","1",-10900,420.470262793914,435.546334716459,67
"29",8750943,"Sold","DT",54,"","Rainey","ST","","615",1,1,0,1,"1",1,2005,756,"416.67","315000","$403.44","305000","04-01-2015",2,2,11,0,"04",2,1,"03","6",-10000,403.439153439153,416.666666666667,11
"30",3795321,"Sold","DT",1212,"","Guadalupe","ST","","702",3,2,0,1,"M",2,1973,966,"330.75","319500","$318.84","308000","08-08-2015",10,10,43,0,"08",10,1,"07","7",-11500,318.840579710145,330.745341614907,43
"31",8128091,"Sold","DT",505,"W","7th","ST","","306",1,1,0,1,"1",1,1964,709,"449.93","319000","$435.83","309000","09-01-2015",5,5,52,0,"09",5,1,"08","3",-10000,435.825105782793,449.929478138223,52
"32",4401716,"Sold","DT",301,"E","4th","ST","","354",1,1,0,2,"1",1,1983,619,"484.65","300000","$500.81","310001","07-23-2015",5,5,33,0,"07",5,1,"07","3",10001,500.809369951535,484.652665589661,33
"33",8184410,"Sold","DT",410,"E","5th","ST","","203",1,1,0,1,"1",1,1999,782,"421.87","329900","$402.81","315000","06-30-2015",58,58,17,0,"06",58,0,"05","2",-14900,402.813299232737,421.867007672634,17
"34",3377038,"Sold","DT",507,"","Sabine","ST","","502",1,1,0,1,"1",1,2007,753,"444.89","335000","$424.97","320000","12-21-2015",7,7,9,0,"12",7,1,"12","5",-15000,424.966799468792,444.887118193891,9
"35",4403285,"Sold","DT",603,"","Davis","ST","","1305",1,1,0,1,"1",1,2008,714,"455.18","325000","$448.18","320000","02-29-2016",7,7,8,0,"02",7,1,"02","1",-5000,448.179271708683,455.182072829132,8
"36",8394837,"Sold","DT",54,"","Rainey","ST","","1115",1,1,0,1,"M",1,2005,756,"429.89","325000","$429.89","325000","04-23-2015",3,3,11,0,"04",3,1,"04","1",0,429.89417989418,429.89417989418,11
"37",5051192,"Sold","DT",301,"E","4th","ST","","337",1,1,0,1,"1",1,1983,600,"549.83","329900","$549.83","329900","11-20-2015",3,3,33,0,"11",3,1,"11","3",0,549.833333333333,549.833333333333,33
"38",2197317,"Sold","DT",904,"","West","Ave","","114",1,1,0,1,"1",1,2012,725,"455.17","330000","$455.17","330000","03-20-2015",0,0,4,0,"03",0,1,"03","1",0,455.172413793103,455.172413793103,4
"39",2572662,"Sold","DT",507,"","Sabine","ST","","306",1,1,0,1,"1",1,2007,877,"387.69","340000","$376.28","330000","07-01-2015",66,66,9,0,"07",66,0,"04","3",-10000,376.282782212087,387.685290763968,9
"40",4321282,"Sold","DT",54,"","Rainey","ST","","1015",1,1,0,1,"1",1,2005,756,"445.77","337000","$436.51","330000","12-29-2015",94,94,11,0,"12",94,0,"09","1",-7000,436.507936507937,445.767195767196,11
