MLS Number,Status,Area,Street Number,Street Dir Prefix,Street Name,Street Type,Street Dir Suffix,Unit Number,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Sqft Total,LP$SqFt,List Price,S $/SF,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM 
2572662,Sold,DT,507,,Sabine,ST,,306,1,1,0,1,1,1,2007,877,387.69,"$340,000",$376.28,"$330,000",07-01-2015,66,66
4321282,Sold,DT,54,,Rainey,ST,,1015,1,1,0,1,1,1,2005,756,445.77,"$337,000",$436.51,"$330,000",12-29-2015,94,94
3900089,Sold,DT,800,,Brazos,ST,,903,1,1,0,1,1,1,1949,832,396.63,"$330,000",$396.63,"$330,000",12-18-2015,24,24
8780523,Sold,DT,507,,Sabine,ST,,1006,1,1,0,1,1,1,2007,877,387.69,"$340,000",$379.13,"$332,500",06-25-2015,29,29
2322085,Sold,DT,360,,Nueces,ST,,1018,1,1,0,1,1,1,2008,760,460.39,"$349,900",$440.79,"$335,000",04-15-2015,125,125
8522059,Sold,DT,710,,Colorado,ST,,C-9,1,1,0,1,1,1,1940,711,471.17,"$335,000",$471.17,"$335,000",09-28-2015,10,10
4799745,Sold,DT,54,,Rainey,ST,,510,1,1,0,1,1,1,2005,756,442.99,"$334,900",$443.12,"$335,000",01-29-2016,28,28
4560253,Sold,DT,201,E,4th,ST,N,229,1,1,0,1,1,0,1983,665,496.24,"$330,000",$506.77,"$337,000",09-02-2015,17,17
7615010,Sold,DT,54,,Rainey,ST,,317,1,1,0,1,1,1,2005,865,404.51,"$349,900",$390.75,"$338,000",08-17-2015,43,43
2767055,Sold,DT,54,,Rainey,ST,,717,1,1,0,1,1,1,2005,865,398.27,"$344,500",$392.95,"$339,900",01-29-2016,188,188
4773214,Sold,DT,1801,,Lavaca,ST,,4C,2,2,0,1,1,1,1964,1256,266.72,"$335,000",$273.69,"$343,750",12-21-2015,8,8
1599510,Sold,DT,54,,Rainey,ST,,1011,1,1,0,1,1,1,2005,756,461.64,"$349,000",$456.35,"$345,000",05-14-2015,2,2
4888027,Sold,DT,1212,,Guadalupe,ST,,905,2,2,0,1,1,2,1973,956,365.06,"$349,000",$360.88,"$345,000",01-11-2016,94,94
2764003,Sold,DT,505,W,7th,ST,,202,2,1,1,1,1,1,1964,1011,345.2,"$349,000",$343.22,"$347,000",06-22-2015,97,97
3927296,Sold,DT,1801,,Lavaca,ST,,5D,1,1,0,1,1,1,1964,1189,293.52,"$349,000",$293.52,"$349,000",07-08-2015,96,96
3153154,Sold,DT,603,,Davis,ST,,1407,1,1,0,1,1,1,2006,879,398.18,"$350,000",$398.18,"$350,000",04-08-2015,2,2
1149818,Sold,DT,1212,,Guadalupe,ST,,902,2,2,0,1,1,2,1973,956,376.46,"$359,900",$368.20,"$352,000",05-07-2015,47,47
9350173,Sold,DT,603,,Davis,ST,,907,1,1,0,2,1,1,2006,879,403.87,"$355,000",$401.59,"$353,000",12-11-2015,48,48
8168802,Sold,DT,710,,Colorado,ST,,I-2,1,1,0,1,1,1,1940,1191,299.75,"$357,000",$298.07,"$355,000",08-28-2015,67,293
2497271,Sold,DT,555,E,5th,ST,,821,1,1,0,1,1,1,2004,855,426.9,"$365,000",$415.20,"$355,000",12-28-2015,116,116
7242929,Sold,DT,360,,Nueces,ST,,1506,1,1,0,1,1,1,2008,753,491.37,"$369,999",$472.78,"$356,000",01-27-2016,138,138
1574941,Sold,DT,1801,,Lavaca,ST,,3L,2,2,0,1,1,1,1964,1363,261.56,"$356,500",$261.56,"$356,500",10-27-2015,2,2
2556202,Sold,DT,1801,,Lavaca,ST,,3F,2,2,0,1,1,1,1964,1294,277.43,"$359,000",$277.43,"$359,000",08-20-2015,26,26
7312220,Sold,DT,360,,Nueces,ST,,1310,1,1,0,1,1,1,2008,715,510.49,"$365,000",$503.50,"$360,000",12-17-2015,26,26
5777878,Sold,DT,800,,Brazos,ST,,809,1,1,0,1,1,1,1949,884,406.11,"$359,000",$409.50,"$362,000",08-21-2015,7,7
2345240,Sold,DT,603,,Davis,ST,,1107,1,1,0,1,1,1,2006,879,420.93,"$370,000",$415.24,"$365,000",07-14-2015,16,16
5650725,Sold,DT,40,N,Interstate 35,,,7c3,2,2,0,1,1,2,1983,1288,301.24,"$388,000",$287.27,"$370,000",02-09-2016,18,18
8459208,Sold,DT,603,,Davis,ST,,2008,1,1,0,1,1,1,2006,923,417.12,"$385,000",$403.03,"$372,000",06-20-2015,26,26
1796852,Sold,DT,360,,Nueces,ST,,1101,1,1,0,1,1,1,2008,801,474.41,"$380,000",$468.16,"$375,000",10-22-2015,134,134
2252432,Sold,DT,555,E,5th,ST,,725,1,1,0,1,1,1,2004,817,459,"$375,000",$459.00,"$375,000",09-04-2015,21,21
7922391,Sold,DT,360,,Nueces,ST,,1409,1,1,0,1,1,1,2008,744,510.62,"$379,900",$506.05,"$376,500",07-10-2015,85,172
6108112,Sold,DT,360,,Nueces,ST,,1015,1,1,0,1,1,1,2008,785,483.95,"$379,900",$480.76,"$377,400",08-27-2015,171,171
2954797,Sold,DT,1801,,Lavaca,ST,,9A,2,2,0,1,1,0,1964,1301,295.93,"$385,000",$291.62,"$379,400",07-17-2015,6,6
6756840,Sold,DT,360,,Nueces,ST,,1314,1,1,0,1,1,1,2008,832,492.67,"$409,900",$459.13,"$382,000",01-15-2016,7,7
8450601,Sold,DT,360,,Nueces,ST,,2206,1,1,0,1,1,1,2008,748,534.63,"$399,900",$520.05,"$389,000",07-17-2015,52,52
9135983,Sold,DT,360,,Nueces,ST,,3706,1,1,0,1,1,1,2008,753,530.54,"$399,500",$517.26,"$389,500",10-14-2015,42,42
7609384,Sold,DT,555,E,5th,ST,,925,1,1,1,1,1,1,2004,1088,366.73,"$399,000",$359.38,"$391,000",06-30-2015,98,98
8569598,Sold,DT,410,E,5th,ST,,1,1,1,0,1,1,1,1999,1333,299.32,"$399,000",$295.95,"$394,500",06-19-2015,191,191
1032982,Sold,DT,1812,,West,Ave,,106,2,2,0,1,1,1,2007,1183,350.8,"$415,000",$333.90,"$395,000",12-09-2015,62,62
9546543,Sold,DT,360,,Nueces,ST,,1218,1,1,0,1,1,0,2008,760,528.88,"$401,950",$522.30,"$396,950",02-29-2016,3,187
2610311,Sold,DT,360,,Nueces,ST,,2503,1,1,0,1,1,1,2008,728,549.44,"$399,990",$545.33,"$397,000",05-29-2015,25,64
9994925,Sold,DT,360,,Nueces,ST,,2303,1,1,0,1,1,1,2008,728,563.05,"$409,900",$545.33,"$397,000",08-11-2015,45,45
2723188,Sold,DT,360,,Nueces,ST,,2403,1,1,0,1,1,1,2008,728,549.31,"$399,900",$549.31,"$399,900",11-20-2015,16,16
4441332,Sold,DT,360,,Nueces,ST,,4208,1,1,0,1,1,0,2008,732,559.43,"$409,500",$551.91,"$404,000",09-18-2015,51,51
8767364,Sold,DT,360,,Nueces,ST,,4206,1,1,0,1,1,1,2008,748,547.99,"$409,900",$541.44,"$405,000",04-27-2015,46,46
7498488,Sold,DT,40,N,Interstate 35,,,5B2,2,2,0,1,1,2,1983,1459,284.44,"$415,000",$278.27,"$406,000",12-18-2015,66,103
8432463,Sold,DT,360,,Nueces,ST,,3908,1,1,0,1,1,1,2008,732,568.99,"$416,500",$554.64,"$406,000",03-01-2016,17,17
